"","Date","Number_of_Victims","Month","Season","Unemployment_Rate","Net_Migration_Arrival"
"1",Jul 2014,15579,7,"Winter",5.2,4280
"2",Aug 2014,16312,8,"Winter",5.2,4630
"3",Sep 2014,16503,9,"Spring",5.2,4290
"4",Oct 2014,16402,10,"Spring",5.2,4410
"5",Nov 2014,16851,11,"Spring",5.2,4140
"6",Dec 2014,16955,12,"Summer",5.5,3930
"7",Jan 2015,17531,1,"Summer",5.5,4600
"8",Feb 2015,16317,2,"Summer",5.5,3880
"9",Mar 2015,17689,3,"Autumn",5.4,4650
"10",Apr 2015,16669,4,"Autumn",5.4,4710
"11",May 2015,17451,5,"Autumn",5.4,4740
"12",Jun 2015,17165,6,"Winter",5.5,4560
"13",Jul 2015,17328,7,"Winter",5.5,5230
"14",Aug 2015,17333,8,"Winter",5.5,5390
"15",Sep 2015,16624,9,"Spring",5.6,5460
"16",Oct 2015,17781,10,"Spring",5.6,5430
"17",Nov 2015,18249,11,"Spring",5.6,5400
"18",Dec 2015,18156,12,"Summer",4.9,5090
"19",Jan 2016,18269,1,"Summer",4.9,5240
"20",Feb 2016,17878,2,"Summer",4.9,5720
"21",Mar 2016,18322,3,"Autumn",5.2,5170
"22",Apr 2016,17937,4,"Autumn",5.2,5100
"23",May 2016,18415,5,"Autumn",5.2,5450
"24",Jun 2016,17867,6,"Winter",5,5280
"25",Jul 2016,18585,7,"Winter",5,5190
"26",Aug 2016,19099,8,"Winter",5,4700
"27",Sep 2016,18135,9,"Spring",5,5290
"28",Oct 2016,18410,10,"Spring",5,5230
"29",Nov 2016,18822,11,"Spring",5,4950
"30",Dec 2016,18802,12,"Summer",5.2,4910
"31",Jan 2017,20661,1,"Summer",5.2,4640
"32",Feb 2017,18216,2,"Summer",5.2,4840
"33",Mar 2017,19335,3,"Autumn",4.9,4910
"34",Apr 2017,17528,4,"Autumn",4.9,4640
"35",May 2017,19710,5,"Autumn",4.9,4350
"36",Jun 2017,17844,6,"Winter",4.8,4830
"37",Jul 2017,18085,7,"Winter",4.8,4450
"38",Aug 2017,18956,8,"Winter",4.8,3910
"39",Sep 2017,18349,9,"Spring",4.7,3770
"40",Oct 2017,18100,10,"Spring",4.7,3940
"41",Nov 2017,18605,11,"Spring",4.7,4220
"42",Dec 2017,18057,12,"Summer",4.5,4020
"43",Jan 2018,19742,1,"Summer",4.5,4500
"44",Feb 2018,17873,2,"Summer",4.5,3770
"45",Mar 2018,18544,3,"Autumn",4.3,4040
"46",Apr 2018,16960,4,"Autumn",4.3,3970
"47",May 2018,18209,5,"Autumn",4.3,4090
"48",Jun 2018,17707,6,"Winter",4.5,3700
"49",Jul 2018,17412,7,"Winter",4.5,4100
"50",Aug 2018,17725,8,"Winter",4.5,4280
"51",Sep 2018,17474,9,"Spring",4,4530
"52",Oct 2018,18630,10,"Spring",4,3860
"53",Nov 2018,18641,11,"Spring",4,4120
"54",Dec 2018,18425,12,"Summer",4.3,4400
"55",Jan 2019,20557,1,"Summer",4.3,4140
"56",Feb 2019,17782,2,"Summer",4.3,4220
"57",Mar 2019,18424,3,"Autumn",4.1,4320
"58",Apr 2019,17804,4,"Autumn",4.1,4390
"59",May 2019,19134,5,"Autumn",4.1,5250
"60",Jun 2019,17902,6,"Winter",4,5110
"61",Jul 2019,19151,7,"Winter",4,5820
"62",Aug 2019,20000,8,"Winter",4,6540
"63",Sep 2019,19925,9,"Spring",4.1,6440
"64",Oct 2019,21305,10,"Spring",4.1,7740
"65",Nov 2019,21827,11,"Spring",4.1,7190
"66",Dec 2019,22726,12,"Summer",4.1,8190
"67",Jan 2020,23730,1,"Summer",4.1,7780
"68",Feb 2020,22955,2,"Summer",4.1,9310
"69",Mar 2020,20527,3,"Autumn",4.2,11380
"70",Apr 2020,8715,4,"Autumn",4.2,190
"71",May 2020,11688,5,"Autumn",4.2,640
"72",Jun 2020,15332,6,"Winter",4,760
