"DateTime","Arrivals","Departures"
"2001-01-01",8250,8800
"2001-02-01",9350,9630
"2001-03-01",8720,7490
"2001-04-01",9280,7190
"2001-05-01",9110,7960
"2001-06-01",9460,6610
"2001-07-01",9780,6280
"2001-08-01",9650,6120
"2001-09-01",10390,6220
"2001-10-01",10620,6090
"2001-11-01",10660,5900
"2001-12-01",10020,5780
"2002-01-01",10830,6020
"2002-02-01",10750,6130
"2002-03-01",12070,6050
"2002-04-01",11190,6290
"2002-05-01",11150,6200
"2002-06-01",11560,6360
"2002-07-01",11160,6100
"2002-08-01",11660,6070
"2002-09-01",11400,6170
"2002-10-01",11140,6320
"2002-11-01",11340,6030
"2002-12-01",10400,6070
"2003-01-01",10990,6350
"2003-02-01",10880,6000
"2003-03-01",11160,6550
"2003-04-01",10380,6050
"2003-05-01",10100,6200
"2003-06-01",9870,6220
"2003-07-01",10000,6800
"2003-08-01",9650,6920
"2003-09-01",9320,6630
"2003-10-01",9430,6790
"2003-11-01",9180,7310
"2003-12-01",9110,7090
"2004-01-01",9250,6970
"2004-02-01",8940,7240
"2004-03-01",8320,7120
"2004-04-01",8340,7130
"2004-05-01",8770,7440
"2004-06-01",8510,7600
"2004-07-01",8560,7820
"2004-08-01",8250,7150
"2004-09-01",8360,7560
"2004-10-01",8390,7320
"2004-11-01",8470,7970
"2004-12-01",8870,7870
"2005-01-01",8700,7690
"2005-02-01",8460,7890
"2005-03-01",8440,7920
"2005-04-01",9090,7950
"2005-05-01",9080,7640
"2005-06-01",8650,7550
"2005-07-01",8190,8520
"2005-08-01",8560,7400
"2005-09-01",8760,7550
"2005-10-01",8750,7680
"2005-11-01",8350,7380
"2005-12-01",9030,7690
"2006-01-01",8840,7570
"2006-02-01",8900,7300
"2006-03-01",9070,7390
"2006-04-01",9090,7970
"2006-05-01",8800,7740
"2006-06-01",9080,7960
"2006-07-01",9200,7920
"2006-08-01",9180,8000
"2006-09-01",9590,8260
"2006-10-01",9430,8290
"2006-11-01",9780,7750
"2006-12-01",9680,8160
"2007-01-01",9360,8160
"2007-02-01",9220,8450
"2007-03-01",9910,8430
"2007-04-01",9340,8530
"2007-05-01",9190,8780
"2007-06-01",9560,8670
"2007-07-01",8840,8520
"2007-08-01",9830,8620
"2007-09-01",9650,8740
"2007-10-01",9430,8420
"2007-11-01",9740,8590
"2007-12-01",9540,8860
"2008-01-01",9230,8720
"2008-02-01",10160,9220
"2008-03-01",10030,8740
"2008-04-01",10260,9020
"2008-05-01",10920,9190
"2008-06-01",10610,9260
"2008-07-01",10020,9090
"2008-08-01",10210,9340
"2008-09-01",9570,8830
"2008-10-01",10040,9140
"2008-11-01",9750,9090
"2008-12-01",9780,8550
"2009-01-01",9770,8590
"2009-02-01",9760,7980
"2009-03-01",9340,7770
"2009-04-01",9230,7340
"2009-05-01",9350,7200
"2009-06-01",8960,7150
"2009-07-01",9040,7300
"2009-08-01",8540,7270
"2009-09-01",8660,7370
"2009-10-01",8610,7270
"2009-11-01",8460,7550
"2009-12-01",8450,7380
"2010-01-01",8650,7570
"2010-02-01",8310,8210
"2010-03-01",8350,8190
"2010-04-01",8310,8040
"2010-05-01",8130,8390
"2010-06-01",8090,8380
"2010-07-01",8520,8320
"2010-08-01",8570,8560
"2010-09-01",8560,8790
"2010-10-01",8750,9020
"2010-11-01",8190,8710
"2010-12-01",8360,8800
"2011-01-01",8350,9330
"2011-02-01",8510,9260
"2011-03-01",8260,10570
"2011-04-01",8570,10030
"2011-05-01",8290,9680
"2011-06-01",7930,9170
"2011-07-01",8680,10110
"2011-08-01",8610,9620
"2011-09-01",8300,9310
"2011-10-01",8050,9900
"2011-11-01",8460,9650
"2011-12-01",8290,9600
"2012-01-01",8230,9650
"2012-02-01",8700,9890
"2012-03-01",8720,9600
"2012-04-01",7850,9470
"2012-05-01",8310,9090
"2012-06-01",8780,9500
"2012-07-01",7980,9230
"2012-08-01",8370,9350
"2012-09-01",8620,9190
"2012-10-01",8550,8960
"2012-11-01",8780,9030
"2012-12-01",8790,9190
"2013-01-01",8830,8680
"2013-02-01",8640,8460
"2013-03-01",9100,8440
"2013-04-01",9410,8240
"2013-05-01",9560,8580
"2013-06-01",10330,8070
"2013-07-01",9460,8090
"2013-08-01",9370,7710
"2013-09-01",9160,7440
"2013-10-01",9790,7520
"2013-11-01",9890,7400
"2013-12-01",10200,7310
"2014-01-01",9740,7080
"2014-02-01",10560,7020
"2014-03-01",10450,6920
"2014-04-01",10760,6860
"2014-05-01",10730,7150
"2014-06-01",10890,7000
"2014-07-01",11030,6750
"2014-08-01",11620,6990
"2014-09-01",11380,7090
"2014-10-01",11160,6750
"2014-11-01",11150,7010
"2014-12-01",10750,6820
"2015-01-01",11570,6970
"2015-02-01",10960,7080
"2015-03-01",11740,7090
"2015-04-01",11630,6920
"2015-05-01",11600,6860
"2015-06-01",11570,7010
"2015-07-01",12080,6850
"2015-08-01",12280,6890
"2015-09-01",12270,6810
"2015-10-01",12460,7030
"2015-11-01",12140,6740
"2015-12-01",11990,6900
"2016-01-01",11990,6750
"2016-02-01",12560,6840
"2016-03-01",12020,6850
"2016-04-01",12360,7260
"2016-05-01",12310,6860
"2016-06-01",12050,6770
"2016-07-01",12210,7020
"2016-08-01",11540,6840
"2016-09-01",12240,6950
"2016-10-01",12020,6790
"2016-11-01",12100,7150
"2016-12-01",12060,7150
"2017-01-01",12010,7370
"2017-02-01",12320,7480
"2017-03-01",11720,6810
"2017-04-01",12130,7490
"2017-05-01",12000,7650
"2017-06-01",12380,7550
"2017-07-01",12170,7720
"2017-08-01",11710,7800
"2017-09-01",11600,7830
"2017-10-01",11670,7730
"2017-11-01",11650,7430
"2017-12-01",11670,7650
"2018-01-01",11890,7390
"2018-02-01",11350,7580
"2018-03-01",12030,7990
"2018-04-01",11880,7910
"2018-05-01",11810,7720
"2018-06-01",11410,7710
"2018-07-01",11910,7810
"2018-08-01",12120,7840
"2018-09-01",12000,7470
"2018-10-01",11320,7460
"2018-11-01",11260,7140
"2018-12-01",11560,7160
"2019-01-01",11420,7280
"2019-02-01",11320,7100
"2019-03-01",11660,7340
"2019-04-01",11670,7280
"2019-05-01",12730,7480
"2019-06-01",13250,8140
"2019-07-01",13260,7440
"2019-08-01",13970,7430
"2019-09-01",14310,7870
"2019-10-01",15810,8070
"2019-11-01",16280,9090
"2019-12-01",16310,8120
"2020-01-01",16240,8460
"2020-02-01",17100,7790
"2020-03-01",17820,6440
"2020-04-01",1270,1080
"2020-05-01",1290,650
"2020-06-01",1770,1010
